countries,children_0-14,girls_10–19,boys_10–19,regions
Afghanistan,0.47,0.09,0.08,Southern Asia
Algeria,0.36,0.03,0.01,Northern Africa
Angola,29.81,10.68,10.42,Middle Africa
Argentina,0.2,0.06,0.06,South America
Armenia,0.46,0.01,0.01,Western Asia
Azerbaijan,0.12,0.01,0.01,Western Asia
Benin,13.67,7.66,8.9,Western Africa
Bolivia,0.82,0.35,0.25,South America
Botswana,29.71,43.49,38.79,Southern Africa
Burkina Faso,12.53,11.07,12.83,Western Africa
Burundi,12.4,8.15,8.97,Eastern Africa
Cambodia,1.16,0.81,0.85,South-Eastern Asia
Cameroon,31.96,15.92,16.49,Middle Africa
Central African Republic,23.02,15.64,18.27,Middle Africa
Chad,11.23,8.04,9.06,Middle Africa
Colombia,0.97,0.2,0.24,South America
republic of the congo,65.49,19.58,16.32,Middle Africa
Costa Rica,2.95,0.29,0.27,Central America
ivory coast,7.22,10.51,12.36,Western Africa
Cuba,0.81,0.32,0.15,Caribbean
Democratic Republic of the Congo,14.28,6.85,7.06,Middle Africa
Djibouti,11.33,16.03,17.77,Eastern Africa
Dominican Republic,1.6,0.72,0.69,Caribbean
Ecuador,1.5,0.26,0.25,South America
Egypt,0.14,0.01,0.01,Northern Africa
El Salvador,2.74,0.51,0.33,Central America
Equatorial Guinea,93.1,18.71,20.42,Middle Africa
Eritrea,2.49,1.81,2.18,Eastern Africa
swaziland,49.76,75.29,61.43,Southern Africa
Ethiopia,4.81,4.02,4.2,Eastern Africa
Gabon,32.52,11.05,11.85,Middle Africa
the gambia,24.8,8.7,9.68,Western Africa
Georgia,1.11,0.01,0.01,Western Asia
Ghana,25.3,11.87,12.75,Western Africa
Guatemala,3.84,1.22,1.06,Central America
Guinea,14.05,6.75,7.51,Western Africa
Guinea-Bissau,44.43,20.56,24.48,Western Africa
Guyana,5.47,1.23,1.19,South America
Haiti,14.56,4.09,4.14,Caribbean
Honduras,2.3,0.82,0.79,Central America
Indonesia,3.28,0.4,0.44,South-Eastern Asia
Iran,0.22,0.03,0.03,Southern Asia
Jamaica,8.04,0.45,0.43,Caribbean
Kazakhstan,0.85,0.07,0.07,Central Asia
Kenya,16.3,13.18,13.6,Eastern Africa
Kyrgyzstan,0.32,0.01,0.01,Central Asia
Lao People's Democratic Republic,1.52,0.28,0.27,South-Eastern Asia
Lesotho,59.95,47.49,46.84,Southern Africa
Liberia,9.69,7.86,8.78,Western Africa
Libya,0.5,0.18,0.17,Northern Africa
Madagascar,3.12,0.29,0.25,Eastern Africa
Malawi,22.73,23.66,24.44,Eastern Africa
Malaysia,0.07,0.04,0.04,South-Eastern Asia
Mali,15.65,6.9,7.48,Western Africa
Mauritania,3.34,1.81,1.76,Western Africa
Mauritius,3.42,1.26,1.21,Eastern Africa
Mexico,0.43,0.07,0.08,Central America
Morocco,0.39,0.07,0.06,Northern Africa
Mozambique,49.33,34.39,31.35,Eastern Africa
Namibia,27.41,32.34,31.37,Southern Africa
Nepal,0.23,0.03,0.03,Southern Asia
Nicaragua,0.51,0.16,0.15,Central America
Niger,2.51,1.25,1.54,Western Africa
Nigeria,14.74,5.73,5.91,Western Africa
Pakistan,1.15,0.05,0.05,Southern Asia
Paraguay,1.02,0.3,0.29,South America
Peru,0.59,0.19,0.19,South America
Philippines,0.19,0.03,0.15,South-Eastern Asia
Portugal,0.07,0.01,0.01,Southern Europe
Republic of Moldova,2.23,0.01,0.01,Eastern Europe
Rwanda,7.48,8.83,9.79,Eastern Africa
Saudi Arabia,0.24,0.01,0.01,Western Asia
Senegal,3.65,2.39,2.75,Western Africa
Sierra Leone,43.46,14.32,16.2,Western Africa
Somalia,1.1,0.81,0.9,Eastern Africa
South Africa,23.74,45.02,40.1,Southern Africa
South Sudan,36.38,12.4,12.2,Middle Africa
Sudan,2.63,0.87,0.83,Northern Africa
Suriname,1.99,0.01,0.01,South America
Tajikistan,3.31,0.01,0.01,Central Asia
Thailand,1.01,1.24,1.27,South-Eastern Asia
Togo,24.53,12.36,13.43,Western Africa
Tunisia,0.34,0.01,0.01,Northern Africa
Uganda,22.04,20.61,18.79,Eastern Africa
Ukraine,1.07,0.23,0.22,Eastern Europe
United Republic of Tanzania,33.27,16.13,16.09,Eastern Africa
Uruguay,2.88,0.01,0.01,South America
Uzbekistan,0.32,0.07,0.07,Central Asia
Venezuela,3.76,1.34,0.95,South America
Vietnam,0.27,0.03,0.03,South-Eastern Asia
Yemen,0.46,0.06,0.06,Western Asia
Zambia,57.99,31.97,29.83,Eastern Africa
Zimbabwe,54.46,46.65,48.34,Eastern Africa
