countries,children_0-14,girls_10–19,boys_10–19,regions
Afghanistan,560.0,200.0,200.0,Southern Asia
Algeria,850.0,200.0,100.0,Northern Africa
Angola,39000.0,15000.0,9100.0,Middle Africa
Argentina,1200.0,660.0,740.0,South America
Armenia,100.0,100.0,100.0,Western Asia
Azerbaijan,200.0,100.0,100.0,Western Asia
Benin,8900.0,3700.0,3100.0,Western Africa
Bolivia,500.0,500.0,200.0,South America
Botswana,7500.0,7300.0,4800.0,Southern Africa
Burkina Faso,16000.0,7400.0,7200.0,Western Africa
Burundi,9700.0,4500.0,4300.0,Eastern Africa
Cambodia,2800.0,2100.0,2300.0,South-Eastern Asia
Cameroon,35000.0,19000.0,14000.0,Middle Africa
Central African Republic,5800.0,3300.0,2700.0,Middle Africa
Chad,11000.0,5200.0,4100.0,Middle Africa
Colombia,1400.0,690.0,830.0,South America
republic of the congo,11000.0,5500.0,2500.0,Middle Africa
Costa Rica,500.0,200.0,100.0,Central America
ivory coast,21000.0,14000.0,12000.0,Western Africa
Cuba,200.0,200.0,100.0,Caribbean
Democratic Republic of the Congo,71000.0,28000.0,23000.0,Middle Africa
Djibouti,600.0,500.0,500.0,Eastern Africa
Dominican Republic,1400.0,700.0,570.0,Caribbean
Ecuador,930.0,500.0,500.0,South America
Egypt,500.0,200.0,200.0,Northern Africa
El Salvador,530.0,500.0,200.0,Central America
Equatorial Guinea,3500.0,1300.0,740.0,Middle Africa
Eritrea,710.0,500.0,500.0,Eastern Africa
swaziland,8700.0,6800.0,4700.0,Southern Africa
Ethiopia,44000.0,25000.0,22000.0,Eastern Africa
Gabon,2900.0,1200.0,910.0,Middle Africa
the gambia,2200.0,680.0,580.0,Western Africa
Georgia,100.0,100.0,100.0,Western Asia
Ghana,29000.0,14000.0,9200.0,Western Africa
Guatemala,2700.0,980.0,1000.0,Central America
Guinea,9700.0,5000.0,3200.0,Western Africa
Guinea-Bissau,3500.0,1300.0,1200.0,Western Africa
Guyana,500.0,200.0,200.0,South America
Haiti,8000.0,4400.0,3100.0,Caribbean
Honduras,810.0,500.0,500.0,Central America
Indonesia,18000.0,5400.0,7400.0,South-Eastern Asia
Iran,740.0,500.0,500.0,Southern Asia
Jamaica,520.0,500.0,500.0,Caribbean
Kazakhstan,550.0,500.0,500.0,Central Asia
Kenya,82000.0,55000.0,44000.0,Eastern Africa
Kyrgyzstan,500.0,100.0,100.0,Central Asia
Lao People's Democratic Republic,540.0,500.0,500.0,South-Eastern Asia
Lesotho,8700.0,7700.0,5500.0,Southern Africa
Liberia,2800.0,1700.0,1300.0,Western Africa
Libya,500.0,100.0,100.0,Northern Africa
Madagascar,2100.0,530.0,500.0,Eastern Africa
Malawi,62000.0,42000.0,32000.0,Eastern Africa
Malaysia,500.0,500.0,500.0,South-Eastern Asia
Mali,14000.0,6100.0,5000.0,Western Africa
Mauritania,650.0,500.0,200.0,Western Africa
Mauritius,100.0,100.0,100.0,Eastern Africa
Mexico,2300.0,1400.0,1800.0,Central America
Morocco,860.0,500.0,500.0,Northern Africa
Mozambique,130000.0,82000.0,48000.0,Eastern Africa
Namibia,8400.0,6400.0,5000.0,Southern Africa
Nepal,1200.0,520.0,510.0,Southern Asia
Nicaragua,500.0,100.0,100.0,Central America
Niger,3200.0,1200.0,1200.0,Western Africa
Nigeria,130000.0,54000.0,43000.0,Western Africa
Pakistan,4900.0,1200.0,1500.0,Southern Asia
Paraguay,500.0,200.0,200.0,South America
Peru,1300.0,500.0,500.0,South America
Philippines,590.0,640.0,5900.0,South-Eastern Asia
Portugal,100.0,100.0,100.0,Southern Europe
Republic of Moldova,200.0,100.0,100.0,Eastern Europe
Rwanda,12000.0,9000.0,7600.0,Eastern Africa
Saudi Arabia,200.0,100.0,100.0,Western Asia
Senegal,3900.0,1600.0,1500.0,Western Africa
Sierra Leone,11000.0,5200.0,3500.0,Western Africa
Somalia,1000.0,500.0,500.0,Eastern Africa
South Africa,310000.0,230000.0,140000.0,Southern Africa
South Sudan,16000.0,6300.0,4400.0,Middle Africa
Sudan,4100.0,1300.0,1100.0,Northern Africa
Suriname,100.0,100.0,100.0,South America
Tajikistan,1100.0,200.0,100.0,Central Asia
Thailand,2400.0,3200.0,4000.0,South-Eastern Asia
Togo,9700.0,4800.0,4000.0,Western Africa
Tunisia,100.0,100.0,100.0,Northern Africa
Uganda,98000.0,60000.0,43000.0,Eastern Africa
Ukraine,2900.0,1300.0,1300.0,Eastern Europe
United Republic of Tanzania,110000.0,62000.0,47000.0,Eastern Africa
Uruguay,200.0,100.0,100.0,South America
Uzbekistan,4100.0,700.0,680.0,Central Asia
Venezuela,3300.0,1800.0,1700.0,South America
Vietnam,4300.0,1500.0,1600.0,South-Eastern Asia
Yemen,510.0,200.0,200.0,Western Asia
Zambia,82000.0,57000.0,33000.0,Eastern Africa
Zimbabwe,79000.0,44000.0,37000.0,Eastern Africa
