countries,children_0-14,girls_10–19,boys_10–19,regions
Afghanistan,0.02,0.02,0.02,Southern Asia
Algeria,0.03,0.02,0.01,Northern Africa
Angola,0.9,1.45,0.32,Middle Africa
Argentina,0.02,0.04,0.07,South America
Armenia,0.02,0.06,0.05,Western Asia
Azerbaijan,0.01,0.02,0.02,Western Asia
Benin,0.35,0.36,0.06,Western Africa
Bolivia,0.04,0.04,0.01,South America
Botswana,0.83,10.57,1.73,Southern Africa
Burkina Faso,0.39,0.1,0.03,Western Africa
Burundi,0.46,0.15,0.02,Eastern Africa
Cambodia,0.04,0.13,0.23,South-Eastern Asia
Cameroon,1.1,1.22,0.17,Middle Africa
Central African Republic,,,,Middle Africa
Chad,0.35,0.5,0.11,Middle Africa
Colombia,0.04,0.02,0.05,South America
republic of the congo,2.59,4.61,0.36,Middle Africa
Costa Rica,0.19,0.16,0.05,Central America
ivory coast,0.28,0.42,0.05,Western Africa
Cuba,0.03,0.1,0.03,Caribbean
Democratic Republic of the Congo,0.46,0.32,0.04,Middle Africa
Djibouti,0.37,0.08,0.04,Eastern Africa
Dominican Republic,0.12,0.17,0.05,Caribbean
Ecuador,0.07,0.04,0.02,South America
Egypt,0.01,0.01,0.02,Northern Africa
El Salvador,0.11,0.06,0.02,Central America
Equatorial Guinea,,,,Middle Africa
Eritrea,0.1,0.13,0.01,Eastern Africa
swaziland,2.53,13.47,1.65,Southern Africa
Ethiopia,0.18,0.23,0.03,Eastern Africa
Gabon,0.79,1.13,0.06,Middle Africa
the gambia,1.02,0.39,0.05,Western Africa
Georgia,0.05,0.09,0.1,Western Asia
Ghana,0.87,1.16,0.1,Western Africa
Guatemala,0.14,0.01,0.01,Central America
Guinea,0.44,1.01,0.18,Western Africa
Guinea-Bissau,1.58,0.9,0.28,Western Africa
Guyana,0.21,0.22,0.07,South America
Haiti,0.76,0.9,0.11,Caribbean
Honduras,0.09,0.01,0.02,Central America
Indonesia,0.13,0.12,0.18,South-Eastern Asia
Iran,0.01,0.03,0.01,Southern Asia
Jamaica,0.41,0.26,0.07,Caribbean
Kazakhstan,0.04,0.09,0.09,Central Asia
Kenya,0.76,1.78,0.27,Eastern Africa
Kyrgyzstan,0.02,0.05,0.05,Central Asia
Lao People's Democratic Republic,0.07,0.14,0.11,South-Eastern Asia
Lesotho,2.4,8.99,1.45,Southern Africa
Liberia,0.39,0.69,0.16,Western Africa
Libya,0.03,0.02,0.02,Northern Africa
Madagascar,0.14,0.11,0.04,Eastern Africa
Malawi,0.89,2.65,0.2,Eastern Africa
Malaysia,0.01,0.03,0.12,South-Eastern Asia
Mali,0.58,0.57,0.21,Western Africa
Mauritania,,,,Western Africa
Mauritius,0.17,0.4,0.41,Eastern Africa
Mexico,0.02,0.05,0.1,Central America
Morocco,0.02,0.01,0.01,Northern Africa
Mozambique,2.4,8.64,1.66,Eastern Africa
Namibia,1.14,4.56,0.93,Southern Africa
Nepal,0.03,0.01,0.01,Southern Asia
Nicaragua,0.02,0.04,0.02,Central America
Niger,0.1,0.02,0.01,Western Africa
Nigeria,0.65,0.62,0.19,Western Africa
Pakistan,0.06,0.04,0.06,Southern Asia
Paraguay,0.04,0.06,0.02,South America
Peru,0.04,0.03,0.03,South America
Philippines,0.01,0.05,0.46,South-Eastern Asia
Portugal,0.01,0.03,0.04,Southern Europe
Republic of Moldova,0.13,0.13,0.12,Eastern Europe
Rwanda,0.3,0.75,0.09,Eastern Africa
Saudi Arabia,0.01,0.01,0.02,Western Asia
Senegal,0.12,0.03,0.01,Western Africa
Sierra Leone,1.73,1.76,0.49,Western Africa
Somalia,0.03,0.01,0.01,Eastern Africa
South Africa,2.14,15.08,2.42,Southern Africa
South Sudan,1.48,1.66,0.52,Middle Africa
Sudan,0.1,0.06,0.03,Northern Africa
Suriname,0.1,0.16,0.04,South America
Tajikistan,0.12,0.05,0.03,Central Asia
Thailand,0.02,0.13,0.3,South-Eastern Asia
Togo,0.99,0.67,0.08,Western Africa
Tunisia,0.01,0.02,0.01,Northern Africa
Uganda,0.75,2.27,0.2,Eastern Africa
Ukraine,0.07,0.08,0.06,Eastern Europe
United Republic of Tanzania,1.09,2.26,0.58,Eastern Africa
Uruguay,0.17,0.1,0.03,South America
Uzbekistan,0.02,0.04,0.03,Central Asia
Venezuela,0.13,0.18,0.13,South America
Vietnam,0.03,0.03,0.03,South-Eastern Asia
Yemen,0.02,0.01,0.01,Western Asia
Zambia,2.5,8.46,1.38,Eastern Africa
Zimbabwe,2.13,3.56,0.51,Eastern Africa
